EllipObject 16733, PlaneEdges 532( V 532, P 0 )
 -> Valid edges : 
   v 183 : 2.82977e-10
   v 184 : 4.90034e-10
   v 185 : 3.34676e-10
   v 186 : 4.37635e-10
   v 187 : 2.82977e-10
   v 188 : 4.90034e-10
   v 189 : 3.34676e-10
   v 190 : 4.37635e-10
   v 191 : 2.82977e-10
   v 192 : 4.90034e-10
   v 193 : 3.34676e-10
   v 194 : 4.37635e-10
   v 195 : 2.82977e-10
   v 196 : 4.90034e-10
   v 197 : 3.34676e-10
   v 198 : 4.37635e-10
   v 199 : 2.82977e-10
   v 200 : 4.90034e-10
   v 201 : 3.34676e-10
   v 202 : 4.37635e-10
   v 203 : 2.82977e-10
   v 204 : 4.90034e-10
   v 205 : 3.34676e-10
   v 206 : 4.37635e-10
   v 207 : 2.82977e-10
   v 208 : 4.90034e-10
   v 209 : 3.34676e-10
   v 210 : 4.37635e-10
   v 211 : 2.82977e-10
   v 212 : 4.90034e-10
   v 213 : 3.34676e-10
   v 214 : 4.37635e-10
   v 215 : 2.82977e-10
   v 216 : 4.90034e-10
   v 217 : 3.34676e-10
   v 218 : 4.37635e-10
   v 219 : 2.82977e-10
   v 220 : 4.90034e-10
   v 221 : 3.34676e-10
   v 222 : 4.37635e-10
   v 223 : 2.82977e-10
   v 224 : 4.90034e-10
   v 225 : 3.34676e-10
   v 226 : 4.37635e-10
   v 227 : 2.82977e-10
   v 228 : 4.90034e-10
   v 229 : 3.34676e-10
   v 230 : 4.37635e-10
   v 231 : 2.82977e-10
   v 232 : 4.90034e-10
   v 233 : 3.34676e-10
   v 234 : 4.37635e-10
   v 235 : 2.82977e-10
   v 236 : 4.90034e-10
   v 237 : 3.34676e-10
   v 238 : 4.37635e-10
   v 239 : 2.82977e-10
   v 240 : 4.90034e-10
   v 241 : 3.34676e-10
   v 242 : 4.37635e-10
   v 243 : 2.82977e-10
   v 244 : 4.90034e-10
   v 245 : 3.34676e-10
   v 246 : 4.37635e-10
   v 247 : 2.82977e-10
   v 248 : 4.90034e-10
   v 249 : 3.34676e-10
   v 250 : 4.37635e-10
   v 251 : 2.82977e-10
   v 252 : 4.90034e-10
   v 253 : 3.34676e-10
   v 254 : 4.37635e-10
   v 255 : 2.82977e-10
   v 256 : 4.90034e-10
   v 257 : 3.34676e-10
   v 258 : 4.37635e-10
   v 259 : 2.82977e-10
   v 260 : 4.90034e-10
   v 261 : 3.34676e-10
   v 262 : 4.37635e-10
   v 263 : 2.82977e-10
   v 264 : 4.90034e-10
   v 265 : 3.34676e-10
   v 266 : 4.37635e-10
   v 267 : 2.82977e-10
   v 268 : 4.90034e-10
   v 269 : 3.34676e-10
   v 270 : 4.37635e-10
   v 271 : 2.82977e-10
   v 272 : 4.90034e-10
   v 273 : 3.34676e-10
   v 274 : 4.37635e-10
   v 275 : 2.82977e-10
   v 276 : 4.90034e-10
   v 277 : 3.34676e-10
   v 278 : 4.37635e-10
   v 279 : 2.82977e-10
   v 280 : 4.90034e-10
   v 281 : 3.34676e-10
   v 282 : 4.37635e-10
   v 283 : 2.82977e-10
   v 284 : 4.90034e-10
   v 285 : 3.34676e-10
   v 286 : 4.37635e-10
   v 287 : 2.82977e-10
   v 288 : 4.90034e-10
   v 289 : 3.34676e-10
   v 290 : 4.37635e-10
   v 291 : 2.82977e-10
   v 292 : 4.90034e-10
   v 293 : 3.34676e-10
   v 294 : 4.37635e-10
   v 295 : 2.82977e-10
   v 296 : 4.90034e-10
   v 297 : 3.34676e-10
   v 298 : 4.37635e-10
   v 299 : 2.82977e-10
   v 300 : 4.90034e-10
   v 301 : 3.34676e-10
   v 302 : 4.37635e-10
   v 303 : 2.82977e-10
   v 304 : 4.90034e-10
   v 305 : 3.34676e-10
   v 306 : 4.37635e-10
   v 307 : 2.82977e-10
   v 308 : 4.90034e-10
   v 309 : 3.34676e-10
   v 310 : 4.37635e-10
   v 311 : 2.82977e-10
   v 312 : 4.90034e-10
   v 313 : 3.34676e-10
   v 314 : 4.37635e-10
   v 315 : 2.82977e-10
   v 316 : 4.90034e-10
   v 317 : 3.34676e-10
   v 318 : 4.37635e-10
   v 319 : 2.82977e-10
   v 320 : 4.90034e-10
   v 321 : 3.34676e-10
   v 322 : 4.37635e-10
   v 323 : 2.82977e-10
   v 324 : 4.90034e-10
